Name,Overall,Potential,Value,Wage,Preferred Foot,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Jersey Number,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
J. Lindberg,63,63,375000,1000,1,3.0,3.0,8,3,26,9.0,155,70,66.0,0.015621063240110858,0.01310153691106072,0.016880826404635927,0.013857394809775762,0.015873015873015872,0.012849584278155708,0.016124968505920885,0.015621063240110858,0.016124968505920885,0.016124968505920885,0.0163769211388259,0.017888636936255985,0.015621063240110858,0.019652305366591082,0.016880826404635927,0.018140589569160998,0.01713277903754094,0.014865205341395817,0.015873015873015872,0.016880826404635927,0.010833963214915596,0.015873015873015872,0.016880826404635927,40.0,0.016124968505920885,0.007810531620055429,0.012597631645250693,0.011337868480725623
K. Iheanacho,75,83,10000000,45000,0,3.0,4.0,8,6,26,8.0,183,80,49.0,0.013688888888888888,0.010666666666666668,0.01191111111111111,0.012977777777777779,0.013688888888888888,0.012266666666666667,0.011377777777777778,0.010844444444444445,0.013511111111111113,0.013866666666666668,0.013866666666666668,0.012799999999999999,0.012622222222222222,0.012088888888888889,0.013333333333333334,0.011022222222222221,0.012266666666666667,0.012444444444444445,0.012799999999999999,0.010844444444444445,0.0037333333333333337,0.014044444444444443,0.011555555555555557,73.0,0.012622222222222222,0.004977777777777778,0.0044444444444444444,0.0040888888888888884
Kim Geon Ung,62,74,475000,1000,1,3.0,2.0,6,6,2,16.0,186,78,36.0,0.009885535900104058,0.01404786680541103,0.016129032258064516,0.00858480749219563,0.0145681581685744,0.008844953173777315,0.010145681581685743,0.016649323621227886,0.014308012486992715,0.016129032258064516,0.015088449531737772,0.015608740894901146,0.015608740894901146,0.015088449531737772,0.016389177939646202,0.011966701352757545,0.015608740894901146,0.019250780437044746,0.014828303850156087,0.01768990634755463,0.01586888657648283,0.015348595213319459,0.01586888657648283,44.0,0.013527575442247659,0.01586888657648283,0.01586888657648283,0.01404786680541103
Sandelas Júnior,72,72,2700000,12000,0,3.0,2.0,8,6,10,13.0,183,78,55.0,0.008873456790123456,0.011766975308641976,0.013310185185185185,0.00945216049382716,0.011766975308641976,0.011381172839506173,0.008680555555555556,0.013695987654320988,0.012924382716049383,0.011574074074074075,0.012152777777777778,0.011959876543209878,0.013695987654320988,0.010609567901234566,0.013117283950617283,0.013310185185185185,0.01427469135802469,0.014853395061728395,0.011188271604938273,0.014660493827160495,0.01427469135802469,0.008294753086419753,0.011766975308641976,54.0,0.013310185185185185,0.013503086419753086,0.013888888888888888,0.01253858024691358
L. Novak,66,66,650000,4000,1,4.0,2.0,0,6,26,17.0,183,78,58.0,0.015151515151515152,0.01492194674012856,0.013544536271808998,0.014462809917355372,0.01285583103764922,0.014003673094582185,0.013085399449035813,0.011707988980716254,0.015151515151515152,0.012626262626262626,0.014462809917355372,0.01423324150596878,0.01423324150596878,0.015151515151515152,0.016069788797061522,0.01721763085399449,0.016299357208448117,0.01790633608815427,0.01492194674012856,0.016069788797061522,0.010330578512396693,0.01492194674012856,0.01492194674012856,67.0,0.015381083562901745,0.008034894398530761,0.009182736455463728,0.006887052341597796
P. Harant,57,66,160000,1000,1,3.0,2.0,8,6,26,25.0,195,85,30.0,0.018775007694675286,0.01692828562634657,0.01631271160357033,0.01692828562634657,0.01600492459218221,0.012311480455524776,0.009233610341643583,0.008925823330255463,0.017851646660510926,0.01631271160357033,0.013542628501077254,0.01692828562634657,0.01600492459218221,0.018467220683287166,0.01815943367189905,0.012311480455524776,0.017543859649122806,0.021545090797168362,0.01538935056940597,0.013850415512465374,0.0046168051708217915,0.01692828562634657,0.013542628501077254,55.0,0.01538935056940597,0.007694675284702985,0.008002462296091105,0.006155740227762388
M. Stiepermann,70,70,1900000,16000,0,2.0,3.0,8,3,0,18.0,192,86,65.0,0.012857142857142857,0.013061224489795917,0.014081632653061225,0.01326530612244898,0.014081632653061225,0.013877551020408163,0.013673469387755103,0.013469387755102041,0.014489795918367345,0.013061224489795917,0.014897959183673471,0.013673469387755103,0.013877551020408163,0.010816326530612244,0.017142857142857144,0.00836734693877551,0.017346938775510204,0.015510204081632652,0.014489795918367345,0.015102040816326531,0.012857142857142857,0.014489795918367345,0.014285714285714285,58.0,0.013469387755102041,0.012448979591836735,0.013877551020408163,0.012653061224489795
D. Toköz,61,72,425000,6000,1,3.0,2.0,8,9,4,26.0,155,75,42.0,0.010481053480247245,0.013437248051599033,0.019887127116366567,0.011287288363343187,0.015318462778822898,0.013168503090567052,0.011287288363343187,0.018005912389142707,0.015049717817790917,0.018812147272238646,0.01639344262295082,0.018274657350174684,0.018005912389142707,0.018812147272238646,0.014512227895726955,0.017737167428110726,0.014512227895726955,0.019887127116366567,0.010749798441279225,0.020155872077398548,0.014780972856758936,0.014512227895726955,0.013437248051599033,50.0,0.01612469766191884,0.014512227895726955,0.018005912389142707,0.015587207739854878
I. Afellay,74,74,4400000,37000,1,4.0,4.0,8,3,0,14.0,155,76,74.0,0.012235208181154127,0.008400292184075968,0.014061358655953251,0.01314828341855369,0.014061358655953251,0.01424397370343316,0.013696128560993427,0.01314828341855369,0.01424397370343316,0.01314828341855369,0.01168736303871439,0.013513513513513514,0.012965668371073776,0.014061358655953251,0.013513513513513514,0.013330898466033601,0.00858290723155588,0.011322132943754564,0.01241782322863404,0.00931336742147553,0.011322132943754564,0.012235208181154127,0.01314828341855369,70.0,0.013878743608473337,0.006574141709276845,0.012235208181154127,0.010591672753834916
M. Škrtel,80,80,6000000,68000,1,2.0,2.0,6,6,8,37.0,192,81,39.0,0.00546875,0.012968750000000001,0.010624999999999999,0.00671875,0.0071874999999999994,0.005156249999999999,0.00421875,0.01046875,0.008906250000000001,0.007656250000000001,0.0096875,0.007656250000000001,0.01125,0.008125,0.0071874999999999994,0.01140625,0.011875,0.0134375,0.00546875,0.0128125,0.01234375,0.005156249999999999,0.0043749999999999995,39.0,0.01109375,0.01203125,0.0128125,0.0121875
F. Lustenberger,76,76,5500000,24000,1,3.0,2.0,6,3,18,28.0,155,70,45.0,0.00554016620498615,0.012465373961218836,0.012984764542936287,0.006059556786703601,0.01056094182825485,0.006578947368421052,0.006232686980609418,0.011599722991689751,0.012119113573407203,0.010907202216066482,0.00917590027700831,0.011253462603878116,0.013331024930747922,0.011426592797783934,0.008137119113573408,0.015062326869806093,0.011772853185595568,0.011772853185595568,0.006059556786703601,0.013157894736842105,0.014369806094182825,0.00554016620498615,0.010907202216066482,50.0,0.012465373961218836,0.013850415512465374,0.014196675900277008,0.01350415512465374
M. Sabitzer,81,84,22000000,54000,1,4.0,3.0,0,6,12,9.0,155,77,70.0,0.012040847431793934,0.008535284255448864,0.012040847431793934,0.01188843164151806,0.012040847431793934,0.01127876848041457,0.009602194787379973,0.010211857948483463,0.012345679012345678,0.012650510592897426,0.011736015851242189,0.011431184270690443,0.01295534217344917,0.012040847431793934,0.013107757963725042,0.011431184270690443,0.012802926383173296,0.011583600060966315,0.012345679012345678,0.01066910531931108,0.008382868465172992,0.012345679012345678,0.012040847431793934,65.0,0.011431184270690443,0.00884011583600061,0.008382868465172992,0.007773205304069502
S. Duggan,59,59,150000,1000,0,2.0,2.0,8,6,4,34.0,174,70,56.0,0.014363688595231254,0.01407641482332663,0.01752370008618213,0.01407641482332663,0.014938236139040505,0.01694915254237288,0.018098247629991383,0.01694915254237288,0.01694915254237288,0.01781097385808676,0.01580005745475438,0.019534616489514506,0.014938236139040505,0.02068371157713301,0.01781097385808676,0.021258259120942258,0.024130996839988508,0.01982189026141913,0.018385521401896008,0.01580005745475438,0.014938236139040505,0.013789141051422007,0.01580005745475438,60.0,0.01781097385808676,0.01407641482332663,0.014938236139040505,0.01465096236713588
E. Ponce,72,80,4700000,1000,1,3.0,3.0,8,6,26,22.0,155,78,59.0,0.01427469135802469,0.013310185185185185,0.01099537037037037,0.011381172839506173,0.01427469135802469,0.013117283950617283,0.01099537037037037,0.009066358024691358,0.013310185185185185,0.014853395061728395,0.014660493827160495,0.014467592592592594,0.01408179012345679,0.014660493827160495,0.014660493827160495,0.0152391975308642,0.015046296296296295,0.013310185185185185,0.011381172839506173,0.008294753086419753,0.005594135802469136,0.012924382716049383,0.010802469135802469,66.0,0.012345679012345678,0.00945216049382716,0.005787037037037038,0.005401234567901234
R. Hamouma,76,76,7000000,30000,1,4.0,3.0,2,6,22,21.0,155,76,76.0,0.012638504155124653,0.010907202216066482,0.013331024930747922,0.012638504155124653,0.01350415512465374,0.013157894736842105,0.012119113573407203,0.01229224376731302,0.013677285318559556,0.012984764542936287,0.012638504155124653,0.01350415512465374,0.012465373961218836,0.012811634349030472,0.012119113573407203,0.01038781163434903,0.01229224376731302,0.01038781163434903,0.012638504155124653,0.01038781163434903,0.00675207756232687,0.013157894736842105,0.012811634349030472,71.0,0.012638504155124653,0.006578947368421052,0.007098337950138504,0.007098337950138504
L. Caicedo,69,74,1200000,4000,1,3.0,2.0,8,6,8,4.0,155,83,48.0,0.005040957781978576,0.013862633900441084,0.013022474270111321,0.004620877966813694,0.004830917874396135,0.005040957781978576,0.005461037597143457,0.010922075194286915,0.006931316950220542,0.010501995379122032,0.008821676118462508,0.009241755933627388,0.013862633900441084,0.013652593992858642,0.007771476580550305,0.014912833438353286,0.014492753623188406,0.01638311279143037,0.005461037597143457,0.016173072883847932,0.015332913253518168,0.006091157319890779,0.003990758244066373,37.0,0.011342155009451797,0.01260239445494644,0.01554295316110061,0.015122873345935728
B. Džemaili,77,77,6500000,33000,1,4.0,4.0,2,6,9,31.0,155,73,75.0,0.011806375442739079,0.011131725417439703,0.01315567549333783,0.012649687974363298,0.012987012987012988,0.013324337999662676,0.011806375442739079,0.012481025468038455,0.01315567549333783,0.009951087873165796,0.010963062911114858,0.011469050430089391,0.013324337999662676,0.011469050430089391,0.014504975543936581,0.009951087873165796,0.012987012987012988,0.011300387923764546,0.013493000505987517,0.01315567549333783,0.011637712936414234,0.012987012987012988,0.012987012987012988,68.0,0.013324337999662676,0.01315567549333783,0.011806375442739079,0.011637712936414234
C. McFadzean,60,63,220000,2000,0,3.0,2.0,8,3,15,21.0,155,75,58.0,0.0125,0.01388888888888889,0.01611111111111111,0.010277777777777778,0.018055555555555554,0.01388888888888889,0.010555555555555556,0.014444444444444446,0.017777777777777778,0.02138888888888889,0.022500000000000003,0.02222222222222222,0.01388888888888889,0.021666666666666667,0.012777777777777779,0.01138888888888889,0.0175,0.015555555555555555,0.010277777777777778,0.009444444444444445,0.01388888888888889,0.015555555555555555,0.012777777777777779,50.0,0.011666666666666665,0.016666666666666666,0.014444444444444446,0.014166666666666666
K. Wootton,57,64,150000,1000,1,3.0,2.0,4,6,26,29.0,189,78,26.0,0.017851646660510926,0.019082794706063406,0.013542628501077254,0.014773776546629732,0.013234841489689135,0.010772545398584181,0.007386888273314866,0.008618036318867343,0.017236072637734686,0.016620498614958446,0.018775007694675286,0.020006155740227762,0.016620498614958446,0.020313942751615882,0.016620498614958446,0.02277623884272084,0.019390581717451526,0.02092951677439212,0.014465989535241613,0.012311480455524776,0.007079101261926746,0.017543859649122806,0.014773776546629732,58.0,0.01600492459218221,0.0049245921822099106,0.007079101261926746,0.005847953216374269
Fabrício Baiano,71,75,2500000,7000,1,3.0,2.0,8,9,20,27.0,155,75,51.0,0.010117040269787742,0.010513786947034318,0.013886133703630232,0.007934933544931562,0.012497520333267209,0.008728426899424716,0.00813330688355485,0.012695893671890498,0.013489387026383652,0.013092640349137076,0.012497520333267209,0.013092640349137076,0.014084507042253521,0.015076373735369965,0.011704026978774052,0.01666336044435628,0.015473120412616545,0.01428288038087681,0.009323546915294585,0.01646498710573299,0.013687760365006943,0.0073398135290616935,0.009323546915294585,35.0,0.011307280301527476,0.013886133703630232,0.01428288038087681,0.013489387026383652
N. Uysal,73,75,3900000,32000,1,3.0,3.0,6,6,18,20.0,155,72,68.0,0.010320885719647213,0.014261587539876148,0.0136986301369863,0.0061925314317883276,0.012948020266466504,0.00844436104334772,0.00562957402889848,0.013886282604616251,0.013886282604616251,0.012948020266466504,0.013135672734096453,0.012385062863576655,0.012572715331206605,0.012760367798836554,0.012948020266466504,0.015012197410395946,0.014073935072246201,0.014261587539876148,0.012197410395946707,0.016138112216175643,0.012760367798836554,0.007881403640457871,0.011634452993056857,60.0,0.011634452993056857,0.013135672734096453,0.014073935072246201,0.013323325201726403
A. Troffa,55,68,160000,1000,1,2.0,2.0,8,3,4,22.0,155,72,37.0,0.012231404958677685,0.015867768595041323,0.01983471074380165,0.013223140495867768,0.017520661157024792,0.011570247933884297,0.013884297520661157,0.016859504132231404,0.018512396694214873,0.022148760330578512,0.020826446280991735,0.019504132231404958,0.019173553719008262,0.0171900826446281,0.016859504132231404,0.01884297520661157,0.02049586776859504,0.01983471074380165,0.013884297520661157,0.0171900826446281,0.016198347107438015,0.01785123966942149,0.016859504132231404,48.0,0.013553719008264463,0.019173553719008262,0.01652892561983471,0.017520661157024792
J. Hornkamp,63,73,600000,2000,1,4.0,2.0,2,6,26,35.0,155,75,33.0,0.016124968505920885,0.016124968505920885,0.013857394809775762,0.015369110607205845,0.01310153691106072,0.012093726379440664,0.008314436885865457,0.010330057949105569,0.01436130007558579,0.016880826404635927,0.01889644746787604,0.014613252708490803,0.014613252708490803,0.016628873771730914,0.017384731670445956,0.015369110607205845,0.01234567901234568,0.017384731670445956,0.016880826404635927,0.008062484252960442,0.007054673721340388,0.014109347442680775,0.011841773746535651,71.0,0.013857394809775762,0.00655076845553036,0.0037792894935752075,0.0045351473922902496
F. Torres,64,65,400000,1000,1,3.0,2.0,6,9,8,5.0,155,78,41.0,0.005126953125,0.017578125,0.015869140625,0.007080078125,0.00927734375,0.0078125,0.007080078125,0.014404296875,0.010986328125,0.0146484375,0.01416015625,0.01171875,0.01171875,0.01513671875,0.010986328125,0.01611328125,0.017578125,0.017333984375,0.004638671875,0.017333984375,0.01171875,0.007080078125,0.0078125,36.0,0.01220703125,0.015380859375,0.017333984375,0.01416015625
P. Bouby,67,67,230000,2000,0,3.0,2.0,8,6,8,17.0,183,78,65.0,0.009356204054355092,0.014479839607930497,0.013588772555134774,0.010024504343951883,0.01225217197594119,0.01514813989752729,0.01603920695032301,0.014702606371129428,0.014702606371129428,0.01202940521274226,0.01202940521274226,0.01537090666072622,0.014925373134328358,0.013366005791935844,0.01537090666072622,0.01581644018712408,0.016930274003118733,0.016261973713521942,0.013588772555134774,0.015593673423925149,0.014034306081532636,0.010470037870349743,0.011583871686344397,67.0,0.014702606371129428,0.014925373134328358,0.014925373134328358,0.013366005791935844
D. Wein,64,69,500000,2000,1,3.0,2.0,6,6,19,17.0,186,81,49.0,0.010009765625,0.013671875,0.015869140625,0.01171875,0.01171875,0.017822265625,0.0166015625,0.0166015625,0.01513671875,0.0146484375,0.014892578125,0.016845703125,0.0126953125,0.013916015625,0.015380859375,0.0185546875,0.0185546875,0.017333984375,0.0126953125,0.014892578125,0.01611328125,0.011474609375,0.014404296875,33.0,0.015625,0.014404296875,0.01513671875,0.013916015625
R. Fernández,70,70,1000000,4000,1,3.0,3.0,8,6,9,10.0,177,71,59.0,0.012040816326530613,0.009795918367346938,0.014897959183673471,0.013673469387755103,0.014489795918367345,0.015510204081632652,0.015306122448979591,0.013877551020408163,0.014897959183673471,0.014693877551020407,0.012857142857142857,0.014285714285714285,0.013469387755102041,0.015306122448979591,0.014489795918367345,0.014285714285714285,0.013673469387755103,0.012857142857142857,0.014285714285714285,0.014285714285714285,0.01163265306122449,0.014081632653061225,0.014285714285714285,68.0,0.013877551020408163,0.010816326530612244,0.011428571428571429,0.01163265306122449
S. Verdi,81,81,19000000,77000,0,5.0,4.0,2,3,24,9.0,174,61,82.0,0.010211857948483463,0.006401463191586648,0.012498094802621552,0.01127876848041457,0.012802926383173296,0.012802926383173296,0.012802926383173296,0.011583600060966315,0.013107757963725042,0.013412589544276786,0.013107757963725042,0.014022252705380277,0.01188843164151806,0.013717421124828533,0.012345679012345678,0.007773205304069502,0.011431184270690443,0.007315957933241884,0.011736015851242189,0.007315957933241884,0.0054869684499314125,0.011583600060966315,0.012498094802621552,68.0,0.01188843164151806,0.008382868465172992,0.007315957933241884,0.009144947416552354
J. Grayson,55,70,170000,2000,0,2.0,2.0,8,6,1,35.0,155,74,35.0,0.011570247933884297,0.015867768595041323,0.018512396694214873,0.009586776859504131,0.015537190082644627,0.01024793388429752,0.011900826446280991,0.0171900826446281,0.015867768595041323,0.019173553719008262,0.020165289256198347,0.017520661157024792,0.01487603305785124,0.0171900826446281,0.014214876033057851,0.01818181818181818,0.015537190082644627,0.023801652892561982,0.011570247933884297,0.01884297520661157,0.0171900826446281,0.012892561983471074,0.013223140495867768,44.0,0.012892561983471074,0.01652892561983471,0.01818181818181818,0.017520661157024792
A. Robertson,82,87,24000000,98000,0,2.0,3.0,0,3,7,3.0,155,64,86.0,0.008477096966091611,0.009369422962522309,0.011302795954788817,0.004759071980963712,0.011302795954788817,0.011005353955978585,0.00446162998215348,0.010113027959547887,0.011600237953599048,0.012046400951814397,0.012790005948839977,0.011600237953599048,0.012046400951814397,0.011005353955978585,0.009964306960142772,0.008774538964901844,0.013236168947055324,0.009815585960737656,0.00892325996430696,0.011600237953599048,0.01189767995240928,0.009815585960737656,0.011005353955978585,55.0,0.010856632956573468,0.01189767995240928,0.012046400951814397,0.011600237953599048
G. Cimirot,73,76,4900000,13000,1,3.0,3.0,0,3,9,8.0,155,74,65.0,0.012009757928316756,0.010320885719647213,0.014073935072246201,0.01144680052542691,0.013510977669356352,0.01144680052542691,0.012009757928316756,0.0136986301369863,0.014073935072246201,0.0136986301369863,0.012760367798836554,0.013510977669356352,0.013135672734096453,0.014636892475136049,0.0136986301369863,0.013323325201726403,0.014449240007506099,0.012385062863576655,0.013135672734096453,0.012385062863576655,0.013886282604616251,0.012197410395946707,0.013135672734096453,60.0,0.013135672734096453,0.012572715331206605,0.012572715331206605,0.012385062863576655
G. Itter,67,85,1500000,5000,0,2.0,3.0,2,3,7,35.0,186,72,68.0,0.008910670527957227,0.014479839607930497,0.01537090666072622,0.006905769659166852,0.015593673423925149,0.014034306081532636,0.010915571396747606,0.014034306081532636,0.01514813989752729,0.015593673423925149,0.01514813989752729,0.014925373134328358,0.013366005791935844,0.013811539318333704,0.014034306081532636,0.01537090666072622,0.014925373134328358,0.012920472265537981,0.008242370238360438,0.012920472265537981,0.014257072844731565,0.01269770550233905,0.010915571396747606,41.0,0.012920472265537981,0.014925373134328358,0.01514813989752729,0.014257072844731565
K. Tokstad,65,65,575000,1000,1,2.0,2.0,8,6,22,11.0,186,84,62.0,0.013727810650887575,0.013727810650887575,0.013727810650887575,0.013964497041420118,0.014911242603550296,0.015147928994082842,0.013727810650887575,0.013964497041420118,0.014674556213017753,0.018224852071005916,0.01893491124260355,0.016568047337278107,0.013727810650887575,0.016331360946745564,0.015621301775147927,0.01349112426035503,0.020118343195266272,0.017514792899408282,0.014201183431952664,0.015621301775147927,0.013254437869822486,0.013727810650887575,0.015384615384615385,59.0,0.015621301775147927,0.007810650887573964,0.011360946745562131,0.010887573964497042
J. Bachmann,64,68,500000,2000,1,2.0,2.0,8,6,20,26.0,192,84,49.0,0.010009765625,0.0166015625,0.015380859375,0.01123046875,0.013671875,0.01171875,0.007080078125,0.01416015625,0.0146484375,0.01171875,0.0107421875,0.00830078125,0.0146484375,0.010986328125,0.012451171875,0.016357421875,0.016845703125,0.019775390625,0.009521484375,0.01611328125,0.014892578125,0.011962890625,0.013427734375,39.0,0.0126953125,0.015380859375,0.015625,0.014404296875
Ángel,63,76,625000,1000,0,3.0,2.0,8,6,7,30.0,183,77,60.0,0.00655076845553036,0.014865205341395817,0.013857394809775762,0.005291005291005291,0.012849584278155708,0.006802721088435374,0.007054673721340388,0.006802721088435374,0.01436130007558579,0.016628873771730914,0.016124968505920885,0.014109347442680775,0.01511715797430083,0.014865205341395817,0.006802721088435374,0.014865205341395817,0.016880826404635927,0.016124968505920885,0.007306626354245401,0.013605442176870748,0.015873015873015872,0.010833963214915596,0.009070294784580499,31.0,0.012597631645250693,0.015621063240110858,0.0163769211388259,0.015873015873015872
Zhu Xiaogang,56,56,70000,2000,1,2.0,2.0,8,3,2,6.0,183,75,25.0,0.006696428571428571,0.016581632653061226,0.01881377551020408,0.00701530612244898,0.011479591836734694,0.008928571428571428,0.007653061224489796,0.013392857142857142,0.013711734693877552,0.011798469387755101,0.01913265306122449,0.014349489795918368,0.017857142857142856,0.021364795918367346,0.01020408163265306,0.020727040816326533,0.021045918367346938,0.02391581632653061,0.007971938775510204,0.01913265306122449,0.017857142857142856,0.008290816326530613,0.010841836734693877,41.0,0.016262755102040817,0.015625,0.019770408163265307,0.018176020408163265
F. Kent,65,75,750000,3000,1,3.0,2.0,8,3,18,6.0,189,76,28.0,0.007573964497041421,0.014911242603550296,0.014911242603550296,0.005680473372781066,0.012307692307692308,0.005207100591715977,0.006627218934911243,0.01301775147928994,0.014201183431952664,0.014674556213017753,0.015621301775147927,0.01349112426035503,0.014437869822485207,0.014201183431952664,0.008994082840236686,0.017278106508875738,0.01893491124260355,0.01609467455621302,0.0037869822485207105,0.014201183431952664,0.015147928994082842,0.009467455621301775,0.009467455621301775,34.0,0.01301775147928994,0.015384615384615385,0.014911242603550296,0.014201183431952664
